school,group_name,qr_payload
上海交通大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=T4ntkoIIOocr8hXQDSKlpAycrLoKlN1x&authKey=14Fs840NVVFCzk36KwrJ%2BNIpdB3DLbcExDhEv%2BN5EGKNe0fDIaNumJQM18MJOJQO&noverify=0&group_code=903988434
上海大学,控制考研交流群,https://qm.qq.com/q/2jyHWDCt5S
东北大学,控制考研交流群,https://qm.qq.com/q/FEivbJvKwe
东北林业大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=UJKB1C7XCm6tJzCOLuHZ08YMzfZ8i9iL&authKey=eG7DZygBwFWRWPPTGsWlTLOOoVLxGOJJ%2FS39sg%2BJjiFFd0S%2FKld9nWxFaFhQbf8Y&noverify=0&group_code=1035285401
东南大学,控制考研交流群,https://qm.qq.com/q/tMT02kHpcc
中南大学,控制考研交流群,https://qm.qq.com/q/piG49sNoPK
中国石油大学（华东）,控制考研交流群,https://qm.qq.com/q/3mZXmHbk9i
中国矿业大学（徐州）,控制考研交流群,https://qm.qq.com/q/XT34sstO0y
中国科学技术大学,控制考研交流群,https://qm.qq.com/q/NdXtwdZ5MA
中国科学院大学,控制考研交流群,https://qm.qq.com/q/e29E9Kqn1S
北京交通大学,控制考研交流群,https://qm.qq.com/q/EJyXZL4Wje
北京化工大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=FGM2R327l-HWBGOr31gqilDnOJegPrWQ&authKey=kYfPm2g4FOXgJVJxLG2Dftb2dtkCGrXSmgesh3SHbriuhyRDLgbKOUua0BQhHcJ0&noverify=0&group_code=962676483
北京工业大学,控制考研交流群,https://qm.qq.com/q/L4HGCCDFik
北京理工大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=IL-9GKEEFHIjaDXa3tdYCtM-hvvfya7w&authKey=oaV734J6AtSjjZUOGIZNsj8Yu4%2Fs35SUYuvNpz2T%2FDBm%2BOFu%2FFhlSHulQBx%2BfQ9v&noverify=0&group_code=1037520671
北京航空航天大学,控制考研交流群,https://qm.qq.com/q/5nVRViwYtq
北京邮电大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=KJBYRidJdhnp6KVPJs11-1ZoRUxPidq_&authKey=Mq4HFNuj%2BFewhMhqiPtamtyyelLEP6BisiQBQjHgGne%2BlBP8Kd9btz%2F2T4LE%2BAuJ&noverify=0&group_code=931845857
华东理工大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=IuThr74If4gV3qOvvjj5SUbzGsmiPYjj&authKey=xDRyzcP7mYqOk%2F9ImV48dlTcYjKlVxPHkckxukzatETsq4DZUBmhw9YOjiQ9UIrJ&noverify=0&group_code=716176496
华中科技大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=eAPnoItOG1bPfoa4zDgODyILr1PfQlZC&authKey=A21LgtU%2BNYW%2FFwY5ky89mfUwr3mCEPsFads8%2B0w5GeC4ACp9DV%2FQzCkY28QYZNPE&noverify=0&group_code=1045912121
华北电力大学（保定）,控制考研交流群,https://qm.qq.com/q/kcXwgiSWru
华北电力大学（北京）,控制考研交流群,https://qm.qq.com/q/kcXwgiSWru
南京信息工程大学,控制考研交流群,https://qm.qq.com/q/HFGdQwdlaC
南京理工大学,控制考研交流群,https://qm.qq.com/q/D8OV67KLew
南京航空航天大学,控制考研交流群,https://qm.qq.com/q/7aQXb3AkXm
南京邮电大学,控制考研交流群,https://qm.qq.com/q/YWsGpsor4Y
南开大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=h8i9SMnxlytQMAQ8rxASxrCJ5CKKD6nz&authKey=lit2DYGr0owdM0OsWSDl1Fq%2FqHZV0xqHbI5MXbOeJrtJRK%2BhpUHCRonNeA%2FMBZAP&noverify=0&group_code=984092874
南昌大学,控制考研交流群,https://qm.qq.com/q/9nLzR7zxjG
厦门大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=h18hAEJ2hoZOZRwo6KLYkDtpIi7swUd2&authKey=iNlQ%2B0nEIIndGq7Ph%2BuC91LCBiGXGafAqjliR2%2FyRpHLHYhs2JMyyETROrLOoluU&noverify=0&group_code=691909543
合肥工业大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=SwJNMKP4xP3UzX3D1FDaCkXkoHzXq3A3&authKey=4O9r4XGc%2B3w38cr7wQYCan7m0AdDyTR1jD8HdBYztvA9XQV8cXGvqbmKzTEmZC33&noverify=0&group_code=1055832788
同济大学,控制考研交流群,https://qm.qq.com/q/Ey2E1YKYf0
哈尔滨工业大学,控制考研交流群,https://qm.qq.com/q/45qICTwiLK
哈尔滨工程大学,控制考研交流群,https://qm.qq.com/q/KWdJNeKbIs
国防科技大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=FlYzt5HKOpMihtZyidxeQnU-WLPEOeVt&authKey=KyNOPtCkyolsJ5C%2FL0KdCU%2Bp9UlqNZdxpy0BVkPtQVJrQdG1z6q%2BwW4Jw7528Sj8&noverify=0&group_code=2159054979
大连海事大学,控制考研交流群,https://qm.qq.com/q/CN8fvv0dvU
大连理工大学,控制考研交流群,https://qm.qq.com/q/Cs7ck7ofeM
天津工业大学,控制考研交流群,https://qm.qq.com/q/wqkypOiAJs
安徽大学,控制考研交流群,https://qm.qq.com/q/29nH7HzJ8U
山东大学,控制考研交流群,https://qm.qq.com/q/6HkYPBdbFK
广东工业大学,控制考研交流群,https://qm.qq.com/q/iExgn4GkI
新疆大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=rJA4s8CGMdQug8EOdBErSoEI_8QubLzB&authKey=TmgfFTY6EsM6FKDj2EuEfUMHoyt6LLxo0K77ORSKOdMeyt3Oh3YHkyDXr%2BW1Ig1a&noverify=0&group_code=892436874
杭州电子科技大学,控制考研交流群,https://qm.qq.com/q/WGKewPWjS2
武汉理工大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=TZMra-lZHf2wuK41QlHE0Lb7GD4yF5Q5&authKey=AdU0944oJKqcprAQhqACLS7B7qHRos03bTZzjF3T1hAeaIr0ZbQnX37mD2zw7Yld&noverify=0&group_code=302450354
江南大学,控制考研交流群,https://qm.qq.com/q/LBZYl5YIco
河北工业大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=ZXpzqbNBOuRVbElV1Ee0fffQuusQt8o2&authKey=Pnf4fKH0%2FApyTCpG2SMWZ37C0kqs5Fq4HljovipdhSlJa8Uzy5%2B1hl9FQx3G5BYW&noverify=0&group_code=1011171559
河海大学,控制考研交流群,https://qm.qq.com/q/xVLUZY1XwW
济南大学,控制考研交流群,https://qm.qq.com/q/bmlViEawdG
浙江理工大学,控制考研交流群,https://qm.qq.com/q/Vxj1gMe4CK
燕山大学,控制考研交流群,https://qm.qq.com/q/CzGNoxlq6Y
电子科技大学,控制考研交流群,https://qm.qq.com/q/5MyETfOy2I
福州大学,控制考研交流群,https://qm.qq.com/q/MaFWaobawM
西北工业大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=WyCpENBVd-ctXvAvexstj9Zeel9dfFU5&authKey=of94qsmW3kIka%2BNS3pH3bW%2FBDly%2BDDUBC%2BFhMS55Easp%2FpDmAZphGk%2Bpjgk36CBY&noverify=0&group_code=1044042297
西安交通大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=QgPtgpf-hDZD0eQ38IFVB91yWMLDbp0-&authKey=fmEc6h%2BGzz58t7j21DxBYgObQCEIKddyLs15rEJCqXYxEup6W%2FTKDoOn0cPPuEMs&noverify=0&group_code=143631179
西安电子科技大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=GPkQSPHyB_JqvMysxYHHIXXMoCTqWtaV&authKey=F5CCAqg4hJS2J%2Fbw9iBB2uNEs5p3RFozRnuLZeYuwuL9%2Bu%2BZv0FI8JRWlcs8LINM&noverify=0&group_code=1057097475
郑州大学,控制考研交流群,https://qm.qq.com/q/y94KZgJ1sW
重庆大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=7FUScxJvORTR7lGAG112g7psUIf4idIm&authKey=EMUq%2BSOvX5a0t1syTMwyhy2IKH1v0zweQpvLo4vSNueXsBuBusOrCrSholkXgkXb&noverify=0&group_code=1049383111
重庆邮电大学,控制考研交流群,https://qm.qq.com/q/PZrEUzK146
长安大学,控制考研交流群,http://qm.qq.com/cgi-bin/qm/qr?_wv=1027&k=L8SaYd3H1eoLF8BSI2OVi-sOVdPVFTbH&authKey=HRhvGys1Xf1aLbIVm2%2BJKUNM2TvZ6G%2Bhw8675MHuKzb%2FT7ygyZHdKrrmL9DLRc%2BQ&noverify=0&group_code=424518001
